question,answer_llm,answer_orig,document
Can I still join the course if I just found it now?,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Is it too late to enroll in the course if I discovered it recently?,"Yes — you can still join if you just discovered the course.

If you want to receive a certificate, you need to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join late, can I still get a certificate somehow?","Yes, but only if you finish the course with the live cohort and submit your capstone project while submissions are still open. Self-paced mode does not qualify for a certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What do I need to do to be eligible for the certificate if I’m joining now?,"To be eligible for the certificate, you need to finish the course with the **live cohort** and **pass the Capstone project**.

If you’re joining now:
- You **can still get the certificate**.
- **Homework is not mandatory**.
- You **must submit the Capstone project**.
- You also need to **peer-review 3 fellow students’ projects**; not doing this may prevent you from getting the certificate.

If you want, I can also summarize the certificate rules in a short checklist.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Are project submissions still open for new students who want the certificate?,"Yes. New students can still join, and if you want the certificate you need to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"I registered for the LLM Zoomcamp, but I never got a confirmation email — is that a problem, or am I already good to go?","You’re already good to go — the confirmation email is not required.

According to the course info, registration is just to gauge interest, and it is not checked against any registered list. You can start learning and submit homework while the form is open, even without a confirmation email.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I actually need to wait for some acceptance email before I can start the course and submit homework?,"No — you don’t need to wait for a confirmation/acceptance email. You’re already accepted, and you can start learning and submitting homework as soon as the form is open. Registration is just for gauging interest, not for checking against an approved list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Is there a list of approved students for the LLM Zoomcamp, or can anyone just begin while the homework form is open?","There is no approved-student list being checked. You can just start learning and submit homework while the form is open, even without waiting for any confirmation email. Registration is only used to gauge interest.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"I signed up for the course, but do I still need to do anything else to be able to join and work on assignments?",I don't know,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What’s the point of registration if there’s no confirmation email — does it mean anything for access to the LLM Zoomcamp?,"It means something for access: **you’re accepted and can start learning**. A confirmation email is **not needed**.

Also, **registration is just to gauge interest** before the start date, and it’s **not checked against a registered list**. You can even start submitting homework while the form is open without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
How do I join the Office Hours or live workshop stream if I’m a student?,"Students participate via **YouTube Live**. The **Zoom link is only for instructors/presenters/TAs**.

- Watch live on the **DataTalksClub YouTube Channel**
- The stream URL is posted in the **announcements channel on Telegram and Slack** before it starts
- Submit questions in **Slido** (the link is pinned in the chat when live)

Don’t post questions in chat, since they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Is there a public Zoom link for the live sessions, or is it only for staff?","The Zoom link is only published to instructors/presenters/TAs, so it’s not public for students.

Students join via YouTube Live, and the video URL is posted in the announcements channel on Telegram and Slack before it starts. Questions go through Slido.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Where do students watch the office hours live, and how are questions supposed to be submitted?",Students watch the office hours live on **YouTube Live**. Questions should be submitted via **Slido** — the link is pinned in the chat when the session is live.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Will the stream link for the workshop be shared somewhere before it starts?,Yes — the video URL should be posted in the announcements channel on Telegram and Slack before the workshop begins. You can also watch it live on the DataTalksClub YouTube channel.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Should I ask my questions in the live chat during Office Hours, or is there another place to send them?","Ask in Slack, not in the live chat. If there’s an Office Hours or live session, questions should be submitted via Slido when live, and the link is usually pinned in the chat. Chat questions can be missed if the room is active.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Where do I begin if I just joined the LLM Zoomcamp, and what should I check first?","Begin with the **LLM Zoomcamp GitHub repository** and the **course docs**:

- [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/)
- [Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/)
- [LLM Zoomcamp GitHub repo](https://github.com/DataTalksClub/llm-zoomcamp)

What to check first:
1. **The lesson folder in the GitHub repo** for the current module.
2. **The course management platform** for the syllabus, deadlines, homework, and progress:
   - [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/)
3. **The homework instructions on GitHub**, not just the platform page.

You can start whenever you want, and the videos/materials are already available.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
What’s the usual weekly routine for this course after watching the lectures?,"A typical weekly routine is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit your answers through the course platform before the deadline.

Homework usually follows the lesson flow but uses a different dataset or a slightly different task.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Do I have to wait for a start date, or can I jump into the materials anytime?",You don't need to wait for a start date — you can jump into the materials and start learning anytime.,"Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How do I go from the videos and notebooks to actually submitting homework for a week?,"A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

So the videos and notebooks are for learning/practice, and the actual homework submission is done on the course management platform.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Is the homework basically the same as the lesson work, or does it change a bit?","The homework usually follows the lesson workflow, but it often uses a different dataset or asks you to apply the same idea in a slightly different way.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
I can’t find myself on the leaderboard — how do I jump straight to my entry?,"Click the **“Jump to your record on the leaderboard”** link — your account is assigned a random display name by default, so that link will take you straight to your entry.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What name do I show up under by default on the course leaderboard?,"By default, you show up on the course leaderboard under a random anonymous display name, such as **“Lucid Elbakyan.”**","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I check my display name or nickname for the leaderboard?,Click the **“Edit Course Profile”** button. The **first field** there is your public **display name/nickname** used on the leaderboard.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Can I change the name that appears publicly on the leaderboard, and what should I edit?","Yes. The public leaderboard uses your **display name / nickname**, not the certificate name.

What to edit in **Edit Course Profile**:
- **First field:** your **public nickname/display name** shown on the leaderboard
- **Second field:** your **official name** printed on the certificate

So if you want to change what appears publicly on the leaderboard, edit the **first field**.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What do I need to fill in so my certificate doesn’t use the random default name?,Fill in the **second field** in **“Edit Course Profile”** with your **official name** as it appears on your ID/passport. That’s the name printed on your certificate instead of the random default name.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Can I do this course at my own pace and still earn the certificate, or is it only for the live cohort?",No — you can only earn the certificate if you finish the course with a live cohort. The self-paced mode does not award certificates because certification requires peer-reviewing 3 capstones during the course run.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"If I take the self-paced version, do I get any certificate at the end or not?",No. You only get a certificate if you finish the course with a live cohort. The self-paced mode does not include certificates.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Why doesn’t the course give certificates for self-paced students?,"We don't award certificates for the self-paced mode because you need to peer-review 3 capstone projects after submitting your project, and that can only happen while the course is running with a live cohort. After the submission form closes and the peer-review list is compiled, self-paced students can’t complete that requirement.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do I need to be in the active running cohort to finish the peer reviews and qualify for the certificate?,"Yes. To qualify for the certificate, you need to finish the course with the live cohort, because peer reviews can only be done while the course is running. After the form closes and the peer-review list is compiled, you won’t be able to complete them.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Is the certificate tied to submitting the project and reviewing 3 capstones while the course is still open?,"Yes. To get a certificate, you need to finish with a live cohort, submit your project while submissions are still open, and peer-review 3 capstones while the course is running. After the form closes, you can no longer do the required peer reviews.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"Do I still qualify for the certificate if I skipped the first homework, or is passing the Capstone enough?",Yes — missing the first homework does **not** affect your certificate. You still qualify as long as you **pass the Capstone project**. Homework is optional and mainly counts toward your leaderboard rank.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Is homework required to get the course certificate, or is it just recommended?",Homework is **not required** to get the course certificate. You only need to **pass the Capstone project**. Homework is **recommended** because it helps reinforce the concepts and the points count toward your leaderboard rank.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"If I didn’t do the first assignment, can I still earn the certificate by completing the Capstone project?","Yes. The first assignment is not mandatory. If you pass the Capstone project, you can still earn the certificate.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Does missing homework affect certificate eligibility, or only the leaderboard ranking?","Missing homework affects only the leaderboard ranking, not certificate eligibility. You can still get a certificate as long as you pass the Capstone project.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
What do I actually need to finish to get the certificate in this course?,"To get the certificate, you need to:

- **Finish the course with a live cohort**
- **Submit and pass the Capstone project**
- **Peer-review 3 capstone projects** after submitting your own

Homework is **not required** for the certificate, though it is recommended. You **cannot** get a certificate in self-paced mode.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
