question,answer_agent,answer_orig,tool_calls,cost,document
Can I still join the course if I just found it now?,"Yes — you can still join the course.

If you want to receive a certificate, though, you’ll need to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""join course late found it now late enrollment can I still join""}'}]",0.00091725,74eb249bbf
Is it too late to enroll in the course if I discovered it recently?,"Yes — you can still join even if you discovered it recently. You can start learning anytime.

One caveat: if you want a certificate, you’ll need to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""late enrollment discovered recently enroll course too late add drop registration FAQ""}'}]",0.00105825,74eb249bbf
"If I join late, can I still get a certificate somehow?","Yes—if you join late, you can still get a certificate as long as you submit your project while the course is still accepting submissions.

A few notes:
- Certificates are **not** available for self-paced mode.
- You need to finish with the **live cohort** and complete the **capstone/project** requirements.
- You’ll also need to **peer-review** other projects while the course is running.

If you want, I can also explain exactly what the certificate requirements are.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""join late certificate still get certificate late enrollment certificate attendance late join""}'}]",0.00125625,74eb249bbf
What do I need to do to be eligible for the certificate if I’m joining now?,"Yes — you can still join now, but to be eligible for the certificate you need to **submit your project while submissions are still open**.

A couple of important notes:
- **Homework is not mandatory** for the certificate.
- You **do need to pass the Capstone project**.
- Certificates are only awarded for the **live cohort**, not self-paced study.

If you want, I can also explain the full certificate requirements in one short checklist.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""eligible for certificate joining now requirements certificate participation attendance assignments FAQ""}'}]",0.00120375,74eb249bbf
Are project submissions still open for new students who want the certificate?,"Yes — new students can still join, but if you want the certificate, you need to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""project submissions certificate new students open""}'}]",0.00092025,74eb249bbf
"I registered for the LLM Zoomcamp, but I never got a confirmation email — is that a problem, or am I already good to go?","No problem — you’re already good to go.

According to the FAQ, you **don’t need the confirmation email**. Registration is just to gauge interest, and it’s **not checked against a registered list**. You can also **start learning and submit homework as long as the form is open**, even without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""LLM Zoomcamp registration confirmation email not received already good to go""}'}]",0.00121875,977bf7786c
Do I actually need to wait for some acceptance email before I can start the course and submit homework?,"No — you don’t need to wait for a confirmation/acceptance email.

According to the course FAQ, you’re effectively accepted once you register, and you can start learning and submitting homework as long as the homework form is open. Registration is just to gauge interest, and it isn’t checked against a list.

",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""acceptance email start course submit homework waiting acceptance email""}'}]",0.00122625,977bf7786c
"Is there a list of approved students for the LLM Zoomcamp, or can anyone just begin while the homework form is open?","There isn’t a checked “approved students” list for LLM Zoomcamp.

According to the FAQ, you can **just start learning and submit homework while the form is open** — it is **not checked against any registered list**. Registration is only used to gauge interest before the start date.

So yes: **anyone can begin as long as the homework form is still open**.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""approved students list LLM Zoomcamp homework form open anyone begin""}'}]",0.0012120,977bf7786c
"I signed up for the course, but do I still need to do anything else to be able to join and work on assignments?","Yes — you can join and work on the assignments after signing up.

The main thing to know is that if you want a **certificate**, you still need to **submit your project while submissions are open**.

If you want, I can also help you figure out what else you need to set up for the course.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""signed up for the course need to do anything else able to join work on assignments""}'}]",0.00158025,977bf7786c
What’s the point of registration if there’s no confirmation email — does it mean anything for access to the LLM Zoomcamp?,"It does mean something for access: **you’re accepted, and you don’t need a confirmation email**.

From the FAQ:

- **You don’t need the confirmation email**
- **You’re accepted**
- You can **start learning and submitting homework while the form is open**
- Registration is **just to gauge interest before the start date**
- It **isn’t checked against a registered list**

So if you registered and never got an email, that **doesn’t block your access to LLM Zoomcamp**.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""registration confirmation email access LLM Zoomcamp point of registration no confirmation email""}'}]",0.0015870,977bf7786c
How do I join the Office Hours or live workshop stream if I’m a student?,"If you’re a student, you **don’t join via the Zoom link** directly.

- **Watch live on YouTube Live**: the stream is usually posted in the **announcements channel on Telegram and Slack** before it starts, and you can also watch on the **DataTalksClub YouTube channel**.
- **Ask questions via Slido**: the Slido link is **pinned in the live chat** when the session is running.
- **Don’t post questions in chat** because they can be missed if the room is busy.

If you want, I can also point you to where the announcements are usually posted.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""join Office Hours live workshop stream student""}'}]",0.00142875,489dd1c9d9
"Is there a public Zoom link for the live sessions, or is it only for staff?","The Zoom link is **only published to instructors/presenters/TAs**, not publicly for students.

For live sessions, students should:
- join via **YouTube Live**
- submit questions through **Slido** (the link is pinned in the chat when live)
- check the **announcements channel on Telegram/Slack** for the video URL before the session starts

You can also watch on the DataTalksClub **YouTube channel**.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""public Zoom link live sessions staff only Zoom link live sessions""}'}]",0.00143925,489dd1c9d9
"Where do students watch the office hours live, and how are questions supposed to be submitted?","Students watch office hours live on **YouTube Live** — the video link is also posted in the **announcements channel on Telegram and Slack**, and the stream may be on the **DataTalksClub YouTube channel**.

Questions should be submitted in **Slido** using the link pinned in the chat when the session is live. Don’t post questions in the chat, since they can be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""office hours live where watch questions submitted""}'}]",0.0012810,489dd1c9d9
Will the stream link for the workshop be shared somewhere before it starts?,"Yes — the workshop/video URL should be posted in the announcements channel on Telegram and Slack before it begins. You can also watch it live on the DataTalksClub YouTube channel.

The Zoom link itself is only for instructors/presenters/TAs.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""stream link workshop shared before it starts livestream link workshop FAQ""}'}]",0.001161,489dd1c9d9
"Should I ask my questions in the live chat during Office Hours, or is there another place to send them?","For Office Hours/live sessions, **don’t ask questions in the chat**—they may get missed when the room is active. Instead, students should submit questions via **Slido** during the live session, and the link is usually **pinned in the chat**.

If your question is more general or you’re stuck on course material, ask in **Slack** and follow the course’s asking-questions guidelines.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""Should I ask my questions in the live chat during Office Hours, or is there another place to send them?""}'}]",0.001434,489dd1c9d9
"Where do I begin if I just joined the LLM Zoomcamp, and what should I check first?","If you just joined LLM Zoomcamp, a good place to start is:

1. The [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/)
2. The [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/)
3. The [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp)

What to check first:
- The current cohort page on the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/) for syllabus, deadlines, homework, and progress tracking.
- The weekly workflow:
  1. Watch the lesson videos
  2. Work through the notebooks/code
  3. Read the homework instructions on GitHub
  4. Submit answers before the deadline

You can start whenever you want, since the materials are already available.

If you want, I can also point you to the exact materials for Module 1.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""just joined LLM Zoomcamp where do I begin what should I check first""}'}]",0.0019920,04919992b3
What’s the usual weekly routine for this course after watching the lectures?,"A typical weekly workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit the homework answers through the course platform before the deadline.

Homework usually follows the lesson structure, but uses a different dataset or a slightly different task.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""usual weekly routine after watching the lectures weekly routine course lectures homework discussion office hours""}'}]",0.0013305,04919992b3
"Do I have to wait for a start date, or can I jump into the materials anytime?","You can start whenever you want — you don’t have to wait for a start date to access the materials. The videos and GitHub resources are available, and the FAQ says you can begin learning and even submit homework while the form is open.

One note: registration is just for gauging interest before the start date, and if you want a certificate, that requires finishing with a live cohort rather than fully self-paced.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""start date jump into materials anytime self-paced enrollment access course FAQ""}'}]",0.00127275,04919992b3
How do I go from the videos and notebooks to actually submitting homework for a week?,"A typical weekly workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit your answers through the course platform before the deadline.

The key point is that the notebooks and videos help you learn the material, but the actual homework submission happens on the course management platform. For homework details, also check the GitHub homework instructions, since they often include extra context beyond the platform page.

If you want, I can also point you to the exact homework links for the current module/week.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""videos notebooks submitting homework for a week homework submission workflow""}'}]",0.0015915,04919992b3
"Is the homework basically the same as the lesson work, or does it change a bit?","Usually it follows the same lesson workflow, but it often changes a bit — for example, it may use a different dataset or ask you to apply the same idea in a slightly different way.

If you want, I can also point you to the homework instructions for your module.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""homework lesson work same different change a bit homework assignment lesson work FAQ""}'}]",0.0012795,04919992b3
I can’t find myself on the leaderboard — how do I jump straight to my entry?,"Click the **“Jump to your record on the leaderboard”** link — that takes you directly to your entry.

If you want to check what name you appear under, go to **Edit Course Profile**:
- **First field**: your public display name / nickname on the leaderboard
- **Second field**: your official name for the certificate

","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""leaderboard jump to my entry find myself on the leaderboard""}'}]",0.00144525,c2903069a0
What name do I show up under by default on the course leaderboard?,"By default, you show up on the leaderboard under a **random anonymous display name** like **“Lucid Elbakyan”**.

If you want to see or change it, go to **Edit Course Profile** — the **first field** is your leaderboard/display name.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""default name shown on course leaderboard""}'}]",0.0011685,c2903069a0
Where can I check my display name or nickname for the leaderboard?,"You can check it in **Edit Course Profile**.

- The **first field** is your **public display name / nickname** for the leaderboard.
- You can also click **“Jump to your record on the leaderboard”** to find your entry.

By default, you’re assigned a random nickname like **“Lucid Elbakyan”**, and you can change it there if you want.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""display name nickname leaderboard check leaderboard name""}'}]",0.0012840,c2903069a0
"Can I change the name that appears publicly on the leaderboard, and what should I edit?","Yes — you can change the name shown publicly on the leaderboard.

Edit **the first field** in **“Edit Course Profile”**. That field is your **public nickname/display name** for the leaderboard. The **second field** is the name that appears on your certificate.

If you want, I can also tell you how to keep your real name off the leaderboard while using it on the certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""change name appears publicly on the leaderboard what should I edit leaderboard public name""}'}]",0.0012735,c2903069a0
What do I need to fill in so my certificate doesn’t use the random default name?,"Go to **Edit Course Profile** and fill in the **second field** with your **official name** exactly as it appears on your ID/passport.

- **First field:** public nickname/display name for the leaderboard
- **Second field:** name printed on your certificate

If you leave the second field as the random default name, that’s what will appear on the certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""certificate random default name fill in name for certificate default name""}'}]",0.00137625,c2903069a0
"Can I do this course at my own pace and still earn the certificate, or is it only for the live cohort?","No — you can follow the course self-paced, but you won’t get a certificate that way.

The FAQ says certificates are only awarded if you finish the course with a **live cohort**, because part of the requirement is **peer-reviewing capstone projects** while the course is running. If the submission/peer-review window is closed, you can still study the material, but not earn the certificate.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""self-paced certificate live cohort course at my own pace earn certificate""}'}]",0.00122325,69d122f12e
"If I take the self-paced version, do I get any certificate at the end or not?","No — the self-paced version does **not** include a certificate.

You only get a certificate if you finish the course with a **live cohort**, because the certificate requires peer-reviewing capstone projects while the course is running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""self-paced certificate end course certificate self-paced version""}'}]",0.0010920,69d122f12e
Why doesn’t the course give certificates for self-paced students?,"The course doesn’t give certificates to self-paced students because certificates require peer-reviewing 3 capstone projects after you submit your own project.

That peer-review step is only available while the course is running with a live cohort. Once the course ends, the peer-review form closes and the review list is compiled, so self-paced students can’t complete that requirement.

","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""self-paced students certificates why doesn\'t the course give certificates""}'}]",0.001332,69d122f12e
Do I need to be in the active running cohort to finish the peer reviews and qualify for the certificate?,"Yes — to qualify for the certificate, you need to finish the course with a **live cohort**.

The FAQ says there are **no certificates for self-paced mode** because you must complete **peer reviews**, and those can only be done **while the course is running** and the peer-review form is open.

So if you want the certificate, you should be in the active running cohort and complete the required peer reviews.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""active running cohort peer reviews certificate qualify""}'}]",0.001197,69d122f12e
Is the certificate tied to submitting the project and reviewing 3 capstones while the course is still open?,"Yes — for a certificate, you need to:

- submit your project while the course is still accepting submissions, and
- peer-review 3 capstone projects while the course is running.

The key point is that both submission and peer-review have to happen during the live cohort, not after the course has closed.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""certificate tied to submitting the project and reviewing 3 capstones while the course is still open""}'}]",0.00111675,69d122f12e
