question,document
Can I still join the course if I just found it now?,74eb249bbf
Is it too late to enroll in the course if I discovered it recently?,74eb249bbf
"If I join late, can I still get a certificate somehow?",74eb249bbf
What do I need to do to be eligible for the certificate if I’m joining now?,74eb249bbf
Are project submissions still open for new students who want the certificate?,74eb249bbf
"I registered for the LLM Zoomcamp, but I never got a confirmation email — is that a problem, or am I already good to go?",977bf7786c
Do I actually need to wait for some acceptance email before I can start the course and submit homework?,977bf7786c
"Is there a list of approved students for the LLM Zoomcamp, or can anyone just begin while the homework form is open?",977bf7786c
"I signed up for the course, but do I still need to do anything else to be able to join and work on assignments?",977bf7786c
What’s the point of registration if there’s no confirmation email — does it mean anything for access to the LLM Zoomcamp?,977bf7786c
How do I join the Office Hours or live workshop stream if I’m a student?,489dd1c9d9
"Is there a public Zoom link for the live sessions, or is it only for staff?",489dd1c9d9
"Where do students watch the office hours live, and how are questions supposed to be submitted?",489dd1c9d9
Will the stream link for the workshop be shared somewhere before it starts?,489dd1c9d9
"Should I ask my questions in the live chat during Office Hours, or is there another place to send them?",489dd1c9d9
"Where do I begin if I just joined the LLM Zoomcamp, and what should I check first?",04919992b3
What’s the usual weekly routine for this course after watching the lectures?,04919992b3
"Do I have to wait for a start date, or can I jump into the materials anytime?",04919992b3
How do I go from the videos and notebooks to actually submitting homework for a week?,04919992b3
"Is the homework basically the same as the lesson work, or does it change a bit?",04919992b3
I can’t find myself on the leaderboard — how do I jump straight to my entry?,c2903069a0
What name do I show up under by default on the course leaderboard?,c2903069a0
Where can I check my display name or nickname for the leaderboard?,c2903069a0
"Can I change the name that appears publicly on the leaderboard, and what should I edit?",c2903069a0
What do I need to fill in so my certificate doesn’t use the random default name?,c2903069a0
"Can I do this course at my own pace and still earn the certificate, or is it only for the live cohort?",69d122f12e
"If I take the self-paced version, do I get any certificate at the end or not?",69d122f12e
Why doesn’t the course give certificates for self-paced students?,69d122f12e
Do I need to be in the active running cohort to finish the peer reviews and qualify for the certificate?,69d122f12e
Is the certificate tied to submitting the project and reviewing 3 capstones while the course is still open?,69d122f12e
"Do I still qualify for the certificate if I skipped the first homework, or is passing the Capstone enough?",9f689c185f
"Is homework required to get the course certificate, or is it just recommended?",9f689c185f
"If I didn’t do the first assignment, can I still earn the certificate by completing the Capstone project?",9f689c185f
"Does missing homework affect certificate eligibility, or only the leaderboard ranking?",9f689c185f
What do I actually need to finish to get the certificate in this course?,9f689c185f
Why does the homework keep changing while I'm trying to work on it?,96286b4be4
What does the [DRAFT] tag in a homework title mean?,96286b4be4
How can I tell if a homework assignment is actually ready to be done?,96286b4be4
Is it safe to start homework before the form is open and the title no longer shows [DRAFT]?,96286b4be4
Why does the course material for homework sometimes get updated after it has been posted?,96286b4be4
When is the next run of the course scheduled to start?,bd31146b0e
Do you know if the course will be available again in summer 2027?,bd31146b0e
What’s the next time this course is being offered?,bd31146b0e
When can I sign up for the next course session?,bd31146b0e
"Is the course coming back in 2027, and if so, when?",bd31146b0e
Where can I find the course lectures or videos?,31456f4b5f
Is there a main place to start if I want to watch the lessons?,31456f4b5f
Do the lesson folders in the repo link to the videos somewhere?,31456f4b5f
Should I use the GitHub repo or the YouTube playlist to follow the course updates?,31456f4b5f
"If I'm confused about where the videos are, what should I check first?",31456f4b5f
Where do I check the current LLM Zoomcamp syllabus and course structure?,20c5a1347e
Is there one place to see homework and deadlines for the LLM Zoomcamp?,20c5a1347e
How can I track my progress in the LLM Zoomcamp?,20c5a1347e
What platform should I use for managing the LLM Zoomcamp course updates?,20c5a1347e
"Does the LLM Zoomcamp have a central site for cohort info, homework, and deadlines?",20c5a1347e
"Do we get live sessions for every module in this course, or is everything just recorded in the repo?",d65e05bd7a
"If there aren't regular office hours, how are live sessions announced and where should I ask questions when I get stuck?",d65e05bd7a
